"student_id";"rev"
1627;990.0
3185;690.0
25973;690.0
26280;690.0
100300;990.0
100645;630.0
102534;580.0
106837;290.0
108270;290.0
114366;690.0
150911;290.0
158400;690.0
181671;690.0
191925;690.0
206193;690.0
207051;690.0
212994;690.0
218393;690.0
225541;690.0
226909;1140.0
238747;690.0
239626;1140.0
243614;690.0
247613;690.0
247888;690.0
250196;690.0
264473;1900.0001
274352;690.0
280034;290.0
280036;199.0
284083;398.0
287008;1830.0
296608;1140.0
299195;1900.0
308549;1900.0
308594;1900.0
311875;690.0
317062;3260.0
323325;690.0
330737;1900.0
331312;1900.0
332387;2910.0
338677;1900.0001
343083;990.0
347455;2820.0
350574;690.0
352210;690.0
359039;2099.0
365174;690.0
365832;690.0
366127;1900.0
368342;1900.0
369906;690.0
376893;1140.0
376983;690.0
379049;690.0
380679;690.0
384731;1900.0
387124;690.0
393127;290.0
402835;690.0
429366;1140.0
431962;690.0
439887;690.0
445767;3660.0
446915;690.0
447632;690.0
448772;1140.0
448877;690.0
449385;1140.0
449412;690.0
450046;690.0
450103;690.0
450766;690.0
450815;1140.0
450910;690.0
453013;690.0
453160;690.0
454872;690.0
454934;690.0
455013;690.0
455043;690.0
455095;690.0
455733;690.0
455892;690.0
455945;690.0
455952;1140.0
456232;690.0
456247;690.0
456477;690.0
456555;1140.0
456900;690.0
457466;690.0
457498;690.0
458069;690.0
458325;690.0
458537;690.0
458595;690.0
459013;1140.0
459612;690.0
459662;690.0
460144;690.0
460193;1530.0
460488;690.0
461721;690.0
496794;580.0
521164;1900.0
522430;990.0
526310;1900.0
536848;1900.0
552320;990.0
561877;290.0
581119;290.0
594228;2900.0
600890;1900.0
634112;290.0
657214;990.0
695216;199.0
696135;398.0
703252;1900.0
720651;1980.0
759073;1900.0001
766755;1900.0001
766874;1900.0001
771968;290.0
776259;990.0
776467;199.0
800185;1900.0001
806723;1900.0
806984;580.0
829330;3660.0
879402;1900.0
913993;1140.0
926967;1900.0
967564;580.0
987129;1980.0
991392;398.0
996727;290.0
1000052;1900.0001
1007302;990.0
1008928;1900.0001
1012910;1160.0
1014224;990.0
1016481;580.0
1021084;290.0
1022121;990.0
1022406;290.0
1024467;1900.0
1029642;1900.0
1036096;1900.0
1037236;1900.0
1045136;1900.0
1050825;1900.0001
1068688;1140.0
1073096;290.0
1077515;1900.0
1086218;1900.0
1089482;1900.0
1090718;990.0
1094102;690.0
1097225;1900.0
1108682;290.0
1108686;1900.0
1113763;690.0
1116874;1900.0
1123519;990.0
1124395;290.0
1134649;990.0
1135439;1900.0
1147732;1900.0
1160511;870.0
1182574;990.0
1184303;1530.0
1187944;290.0
1202202;2910.0
1220488;1980.0
1220810;1900.0
1221628;199.0
1225044;1900.0001
1232221;1900.0
1234386;840.0
1252116;870.0
1259235;199.0
1265965;840.0
1281916;2890.0
1316069;1900.0
1318118;1900.0001
1335384;840.0
1346450;580.0
1358182;1900.0001
1390994;398.0
1400335;290.0
1410414;1900.0
1410693;1900.0
1422856;199.0
1439245;690.0
1439851;1180.0
1445615;1140.0
1458792;990.0
1466778;880.0
1467890;1900.0001
1471122;290.0
1477204;3040.0
1479137;1530.0
1491365;1530.0
1516029;290.0
1516339;290.0
1519814;1900.0
1529060;990.0
1540324;1900.0
1541530;290.0
1543217;199.0
1551921;1900.0
1554017;199.0
1554194;1900.0
1555055;199.0
1557550;290.0
1568415;1900.0
1579426;290.0
1579750;796.0
1590279;1530.0
1595691;290.0
1611071;290.0
1617049;990.0
1624158;3660.0
1625302;1900.0
1638517;1900.0001
1659434;690.0
1672713;990.0
1683435;199.0
1687177;1900.0001
1711305;4650.0
1736530;2190.0
1739329;199.0
1755467;2910.0
1771875;990.0
1783273;1900.0
1790619;690.0
1810518;990.0
1817245;1140.0
1820232;1729.0
1837211;990.0
1847749;840.0
1851744;1900.0
1880452;1900.0001
1893556;290.0
1897820;1900.0001
1903217;1900.0
1945744;870.0
1956186;580.0
2071359;1900.0
2081846;1900.0
2116294;840.0
2150601;3660.0
2172201;199.0
2174339;1900.0001
2176352;1530.0
2181089;840.0
2257662;290.0
2276511;290.0
2306271;290.0
2361862;290.0
2388577;1900.0
2393822;1900.0
2394657;1900.0001
2455897;2820.0
2464346;290.0
2480939;290.0
2485184;990.0
2489822;840.0
2526021;1140.0
2527157;1140.0
2543795;840.0
2557593;1900.0
2575187;1900.0
2624822;840.0
2633282;199.0
2650110;199.0
2686297;1900.0
2690129;1140.0
2692209;1900.0001
2698943;1388.0
2712604;1900.0
2725067;290.0
2735665;1900.0
2737543;840.0
2766490;2890.0
2790450;840.0
2794098;290.0
2896010;1900.0
2914580;1900.0001
2940657;199.0
2952307;690.0
2996381;1900.0001
3010261;199.0
3011143;840.0
3013878;1900.0
3016650;990.0
3029991;840.0
3044093;690.0
3054644;1900.0
3076730;1530.0
3083400;290.0
3087954;990.0
3097956;1900.0
3102368;290.0
3108567;840.0
3110897;870.0
3117598;290.0
3117959;199.0
3119090;590.0
3119515;290.0
3121370;1900.0
3127631;2220.0
3143818;1900.0
3148679;290.0
3156691;1900.0
3157476;2099.0
3160903;290.0
3162542;990.0
3168441;290.0
3169660;199.0
3172630;290.0
3184665;199.0
3186600;199.0
3195660;489.0
3198941;840.0
3199715;290.0
3204592;1900.0
3206185;290.0
3207087;199.0
3217461;1530.0
3217479;990.0
3232706;1900.0
3236909;1900.0001
3238346;990.0
3239619;840.0
3247269;199.0
3247723;590.0
3249082;990.0
3257969;1050.0
3269139;990.0
3272596;398.0
3274600;1900.0001
3278017;690.0
3278734;1900.0
3282270;1900.0
3303702;1900.0
3312112;1900.0
3319672;1968.0
3324574;840.0
3328947;580.0
3330061;290.0
3334859;199.0
3335339;1900.0001
3347363;290.0
3354191;1900.0001
3354373;870.0
3355197;2220.0
3365536;1900.0001
3369713;590.0
3370756;580.0
3392210;290.0
3395583;290.0
3423411;1900.0
3431601;1180.0
3443665;590.0
3451399;590.0
3456377;1900.0001
3456435;199.0
3462630;290.0
3497864;290.0
3500669;990.0
3503981;1339.0
3512746;590.0
3516039;1900.0
3520288;840.0
3522029;290.0
3526281;290.0
3530122;1900.0
3554807;1900.0
3554985;290.0
3586374;840.0
3610547;290.0
3622791;290.0
3730883;1900.0001
3750640;290.0
3760828;1140.0
3785524;290.0
3806942;290.0
3821501;1900.0
3822219;398.0
3822616;199.0
3843896;290.0
3845821;1900.0001
3851300;580.0
3885006;1900.0
3890326;199.0
3910596;597.0
3913123;990.0
3954825;1140.0
3956676;690.0
3967955;1900.0
3968980;1900.0
3978767;1140.0
3993249;290.0
3995801;1900.0
4001573;990.0
4002619;2890.0
4034293;199.0
4037951;1140.0
4038035;199.0
4051351;1900.0
4061096;840.0
4109568;290.0
4121112;290.0
4158535;290.0
4161439;840.0
4163705;580.0
4192343;290.0
4202732;290.0
4202940;580.0
4208448;1140.0
4216932;1039.0
4218092;1900.0
4221497;199.0
4247427;1900.0
4253048;290.0
4272388;1900.0001
4274891;990.0
4279164;990.0
4283302;290.0
4288152;580.0
4294972;290.0
4312265;199.0
4324749;199.0
4337103;580.0
4337111;489.0
4337319;199.0
4347916;690.0
4348697;290.0
4352425;1900.0
4360812;290.0
4383821;990.0
4400580;199.0
4432637;290.0
4459704;2890.0
4465732;1900.0
4472446;1900.0
4506719;1900.0001
4523975;1900.0
4534262;290.0
4534676;199.0
4552800;990.0
4555061;1900.0001
4578763;290.0
4589133;199.0
4599898;290.0
4603576;840.0
4622609;290.0
4628370;199.0
4653645;590.0
4660047;990.0
4662288;990.0
4673307;1900.0
4704151;290.0
4704513;290.0
4744425;990.0
4778580;1900.0001
4789014;1900.0
4798944;199.0
4822057;199.0
4827910;398.0
4868317;990.0
4873135;1900.0001
4875778;1900.0
4907380;590.0
4918479;840.0
4923312;1900.0
4928898;690.0
4934549;840.0
4935152;290.0
4944649;2910.0
4954171;290.0
4978291;1140.0
5004439;1900.0
5008392;690.0
5031164;1900.0
5048036;290.0
5070351;290.0
5072828;290.0
5081288;290.0
5095970;590.0
5104290;1140.0
5113852;290.0
5144149;290.0
5157537;199.0
5177600;199.0
5180675;870.0
5182220;580.0
5190582;398.0
5211975;290.0
5215932;840.0
5246235;290.0
5250795;199.0
5252412;1900.0
5274374;199.0
5286804;290.0
5291900;199.0
5295654;1900.0
5303305;1900.0
5316551;3660.0
5331842;290.0
5334403;840.0
5378875;590.0
5380274;290.0
5389051;1160.0
5394575;990.0
5480804;1980.0
5481541;1900.0001
5484905;199.0
5486319;199.0
5523486;199.0
5529834;290.0
5538992;290.0
5545563;1160.0
5546326;840.0
5553945;690.0
5556966;290.0
5557468;290.0
5562806;398.0
5567520;489.0
5577840;590.0
5580316;2099.0
5599663;1900.0
5609523;1900.0
5645737;1900.0
5651566;1900.0
5662322;1900.0
5681918;1900.0
5740903;1900.0
